Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
7295501,"Shades of Milk and Honey (Glamourist Histories, #1)",Mary Robinette Kowal,"Kowal, Mary Robinette",,"=""076532556X""","=""9780765325563""",5,Tor Books,Hardcover,304,2010,2010,2012/10/11,2011/07/24,,,read,"One of the best romances I've read.  At first, I was a little peeved with how closely some of the characters and plot points followed Pride and Prejudice.  There are only two daughters, instead of five - their mother is a hypochondriac, and their eldest daughter is even named Jane.  However, as I kept reading, things diverged considerably.  Not only were there two ""darcy-like"" characters, but the plot became very different.  Also, the magic system is amazing and fits quite well in the 1800s.  It's an illusion magic that allows them to decorate their homes with life-like illusory trees and birds, etc.  It's kind of like an extended form of painting.  <br/><br/>The book was so gripping that after two days of reading it at night, I read the rest of it in one day and could not put it down.  It was far more gripping in the way it snags you than Pride and Prejudice, which I consider more of a slow and warming burn.<br/><br/>I highly recommend this book, and I have already ordered the sequel, Glamour and Glass.  Have no fear though - you might think this book will leave you hanging, but it doesn't.  It's very satisfying.  :)",,,1,0
638405,The Economy of God,Witness Lee,"Lee, Witness",,"=""0870834150""","=""9780870834158""",5,Living Stream Ministry,Paperback,212,1968,1961,2012/10/26,2012/06/02,,,read,"This is the best spiritual book that I have *ever* read.  It gives the most clear picture I have seen of God's mission/purpose on earth, and what it means to walk with God in the Spirit practically.  I highly recommend this book for as a must-read for every believer in Jesus.  You won't regret it.",,,1,0
3841939,"Basic Elements of the Christian Life, Volume Two",Witness Lee & Watchman Nee,"Nee, Witness Lee & Watchman",Watchman Nee,"=""0736322140""","=""9780736322140""",5,Living Stream Ministry,Paperback,29,2003,,2011/05/01,2011/07/16,,,read,,,,1,0
1003920,"The Blackness Between (Schlock Mercenary, #4)",Howard Tayler,"Tayler, Howard",,"=""0977907430""","=""9780977907434""",5,The Tayler Corporation,Paperback,100,2006,2006,2012/09/28,2012/10/04,,,read,"Schlock's books are hilarious and awesome - I've barely got into the ""good stuff"" yet of the series, but this book cracked me up.  So many great laugh-out-loud moments - Kevin continues to amuse; Breya is back and so much more!",,,1,0
651974,"Under New Management (Schlock Mercenary, #3)",Howard Tayler,"Tayler, Howard",,"=""0977907422""","=""9780977907427""",4,The Tayler Corporation,Paperback,80,2006,2006,2012/09/16,2012/09/20,,,read,"Schlock Mercenary is so much fun - this one was no exception.  It's quite short, but worth it.  The next one is short as well, and then it's on to the longer comic books.  Schlock's and Kevin's antics are my favorite.  Capt. Tagon is hilarious... Howard Taylor does such as awesome job with character. Some of my favorite strips in this one are on p. 49 about the very large telescope made out of their entire terapedo arsenal.<br/><br/>I like to think of this series as a funnier Brewster Rockit Space Guy with better characters and a real story!  Plus, Sgt. Schlock is a  carbosilicate amorph, a.k.a. sentient ball of goo... which is totally one of my favorite concepts in SF!  >.> ",,,1,0
13452375,"Legion (Legion, #1)",Brandon Sanderson,"Sanderson, Brandon",Deniz Evliyagil,"=""1596064854""","=""9781596064850""",5,Subterranean Press,Hardcover,88,2012,2012,2012/09/11,2012/09/20,,,read,"I didn't know Sanderson could write short books!  >.>  This one was only 75 words long, and it was awesome!  Great characters - great concepts.  A little mystery/thriller with a big boom.  Finished it in one day.  I *highly* recommend it!  You can get this one more easily as an ebook.  I was lucky enough to pick up a signed hard back copy of it at Dragon*Con.  :)",,,1,0
6546228,The News Quiz: The Very Best of 2004,Charles Dickens,"Dickens, Charles",,"=""0563524154""","=""9780563524151""",3,Bbc Book Pub,Audio Cassette,,2003,1850,2011/06/26,2011/07/16,,,read,"The book in the beginning was a bit slow and it took me a while to get into it, but I really started enjoying after I passed the half-way point.  It is certainly the best audio dramatization that I have ever listened to.  I was surprised that the ending was relatively happy.  My only regret in listening to audio books is that I cannot see the spelling of unusual words as I come across them.",,,1,0
608474,"The Sign of Four (Sherlock Holmes, #2)",Arthur Conan Doyle,"Doyle, Arthur Conan",Peter Ackroyd,"=""""","=""""",4,Penguin Classics,Paperback,129,2001,1890,2002/09/01,2011/07/12,,,read,**This book is not the same edition that I read.,,,1,0
53732,Dune,Frank Herbert,"Herbert, Frank",,"=""""","=""""",4,Ace/Berkley Books,Paperback,535,1990,1965,2012/07/09,2012/05/27,,,read,"*The date read for this book is not exact.  Excellent book - full of intrigue and lore.  It definitely has en epic feel.  The culture was extremely well-developed, intricate and fascinating.  I thought the ending though was rather sad.",,,1,0
5092817,"The Teraport Wars (Schlock Mercenary, #2)",Howard Tayler,"Tayler, Howard",,"=""0977907414""","=""9780977907410""",5,The Tayler Corporation,Paperback,224,2008,2008,2012/06/25,2012/08/09,,,read,"*The date read is not exactly.  This book is *awesome* and completely hilarious!  I loved every bit of it.  It has the perfect mix of humor, surprise, unexpected plot twists and bumps in the road.  Highly recommended.",,,1,0
9501471,The Two Towers,J.R.R. Tolkien,"Tolkien, J.R.R.",Peter S. Beagle,"=""""","=""""",5,Ballantine Books,Mass Market Paperback,415,1993,1954,2011/12/02,2011/11/09,,,read,"I loved The Two Towers - such earthy, yet beautiful and poetic description Tolkien gives.  I listened to the cd book read by Rob Inglis, but I cannot find that edition on Goodreads.  I highly recommend it.  Faramir was even more noble and wise here, and to my amazement, I got to the part where Frodo was captured by the orcs!  There's hardly any tale left to tell!  I can't wait to read The Return of the King.",,,1,0
8015504,"Deceived (Star Wars: The Old Republic, #2)",Paul S. Kemp,"Kemp, Paul S.",,"=""0345511387""","=""9780345511386""",4,Del Rey,Hardcover,285,2011,2011,2012/05/04,2012/03/15,,,read,"Good book - interesting, and managed to keep me guessing sometimes.  A good ending, bitter sweet.  It does not focus as much on the destruction of Coruscant as I thought. It's mostly about what happens afterward, and why Malgus made the choices that he did.",,,1,0
2767052,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"Collins, Suzanne",,"=""0439023483""","=""9780439023481""",3,Scholastic Press,Hardcover,374,2008,2008,2012/05/08,2012/05/10,,,read,"This book was about exactly what it sounded like it was about - very tragic, gory and somewhat disturbing.  All in all, it was a good read, but it left me feeling depressed.  Though the ending was good, it was sad. Not sure that I'd recommend it, per se.",,,1,0
10687840,"Revan (Star Wars: The Old Republic, #1)",Drew Karpyshyn,"Karpyshyn, Drew",,"=""0345511344""","=""9780345511348""",3,LucasBooks,Hardcover,289,2011,2011,2012/03/14,2012/02/20,,,read,"Very interesting!  Tells what happens to Revan after KOTOR I and II.  Yes, his story is sad, but how can one not read it anyway?  It's Revan!  He's probably my favorite Star Wars character outside of Admiral Thrawn.  I do recommend it.  Revan does not betray Bastila.  You can rest easy about that.",,,1,0
186074,"The Name of the Wind (The Kingkiller Chronicle, #1)",Patrick Rothfuss,"Rothfuss, Patrick",,"=""075640407X""","=""9780756404079""",4,Penguin Group DAW,Hardcover,662,2007,2007,2012/02/11,2011/10/13,,,read,"Excellent book - why? - 1) expertly written - Rothfuss's word choices and descriptions rival the best 2) gripping - the story keeps one in serious suspense 3) great characters - all the characters in this book really come alive 4) great magic system 5) I like how he pokes fun at heroic stories saying things like, ""but it didn't happen like you it does in stories"" etc.  <br/><br/>The overall story is gripping, overtones of sadness and pain, with humor thrown in.  The ending is good.  It deserves five stars - the only reason I gave it 4 was that it was a tad more stressful than I enjoy reading.  Worrying about whether or not a character is going to ruin in life because of his flaws is not my favorite kind of stress.  Nevertheless, I loved this book anyway.<br/><br/>Rothfuss is on par with Brandon Sanderson.  This is extremely high praise from me.  I highly recommend it.",,,1,0
