Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
61926,"All the Weyrs of Pern (Pern, #11)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345419359""","=""9780345419354""",0,Del Rey,Paperback,404,1997,1991,,2011/07/19,to-read,to-read (#36),to-read,,,,0,0
465904,"Dragonsdawn (Pern, #9)",Anne McCaffrey,"McCaffrey, Anne",,"=""0893662135""","=""9780893662134""",0,Ultramarine Pub Co,Hardcover,384,1988,1988,,2011/07/19,to-read,to-read (#35),to-read,,,,0,0
61958,"Moreta: Dragonlady of Pern (Pern, #7)",Anne McCaffrey,"McCaffrey, Anne",,"=""034541957X""","=""9780345419576""",0,Del Rey,Paperback,286,1997,1984,,2011/07/19,to-read,to-read (#34),to-read,,,,0,0
28553,"Dragondrums (Harper Hall, #3)",Anne McCaffrey,"McCaffrey, Anne",,"=""0689860064""","=""9780689860065""",0,Simon & Schuster Aladddin Paperbacks,Paperback,243,2003,1979,,2011/07/19,to-read,to-read (#33),to-read,,,,0,0
28547,"Dragonsinger (Harper Hall, #2)",Anne McCaffrey,"McCaffrey, Anne",,"=""0689860072""","=""9780689860072""",0,Aladdin,Paperback,288,2003,1977,,2011/07/19,to-read,to-read (#32),to-read,,,,0,0
28541,"Dragonsong (Harper Hall, #1)",Anne McCaffrey,"McCaffrey, Anne",,"=""141692499X""","=""9781416924999""",0,Aladdin Paperbacks,Paperback,192,2003,1976,,2011/07/19,to-read,to-read (#31),to-read,,,,0,0
127586,"The White Dragon (The Dragonriders of Pern, #3)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345341678""","=""9780345341679""",0,Del Rey,Mass Market Paperback,468,1986,1978,,2011/07/19,to-read,to-read (#30),to-read,,,,0,0
127584,"Dragonquest (Dragonriders of Pern, #2)",Anne McCaffrey,"McCaffrey, Anne",,"=""""","=""""",0,Del Rey Books,Paperback,350,1986,1971,,2011/07/19,to-read,to-read (#29),to-read,,,,0,0
61975,"Dragonflight (Dragonriders of Pern, #1)",Anne McCaffrey,"McCaffrey, Anne",,"=""0345484266""","=""9780345484260""",0,Del Rey,Paperback,299,2005,1968,,2011/07/19,to-read,to-read (#28),to-read,,,,0,0
8592946,One Thousand Gifts: A Dare to Live Fully Right Where You Are,Ann Voskamp,"Voskamp, Ann",,"=""0310321913""","=""9780310321910""",0,Thomas Nelson,Hardcover,232,2011,2011,,2011/07/19,to-read,to-read (#27),to-read,,,,0,0
349560,The Wise Woman and Other Stories,George MacDonald,"MacDonald, George",Craig Yoe,"=""0802818609""","=""9780802818607""",0,Eerdmans,Paperback,182,1980,1875,,2011/07/19,to-read,to-read (#26),to-read,,,,0,0
682742,The Golden Key,George MacDonald,"MacDonald, George",Maurice Sendak,"=""0374425906""","=""9780374425906""",0,"Farrar, Straus and Giroux (BYR)",Paperback,96,1984,1867,,2011/07/19,to-read,to-read (#25),to-read,,,,0,0
268187,Lilith,George MacDonald,"MacDonald, George",,"=""1587159260""","=""9781587159268""",0,Wildside Press,Paperback,226,2005,1895,,2011/07/19,to-read,to-read (#24),to-read,,,,0,0
42038,Shakespeare's Sonnets,William Shakespeare,"Shakespeare, William",Katherine Duncan-Jones,"=""1903436575""","=""9781903436578""",0,Bloomsbury Arden Shakespeare,Paperback,488,1997,1609,,2011/07/19,to-read,to-read (#23),to-read,,,,0,0
179579,The Light Princess,George MacDonald,"MacDonald, George",Veronica Murphy,"=""1596440430""","=""9781596440432""",0,Hovel Audio,Audio CD,0,2004,1864,,2011/07/19,to-read,to-read (#22),to-read,,,,0,0
14706,"Faust, First Part",Johann Wolfgang von Goethe,"Goethe, Johann Wolfgang von",Peter Salm,"=""0553213482""","=""9780553213485""",0,Bantam Classics,Paperback,327,1988,1808,,2011/07/19,to-read,to-read (#21),to-read,,,,0,0
174948,Phantastes,George MacDonald,"MacDonald, George",,"=""160096401X""","=""9781600964015""",0,Waking Lion Press,Paperback,212,2006,1858,,2011/07/19,to-read,to-read (#20),to-read,,,,0,0
444381,"The Princess and the Goblin  (Princess Irene and Curdie, #1)",George MacDonald,"MacDonald, George",Arthur Hughes,"=""0140367462""","=""9780140367461""",0,Puffin,Paperback,241,1997,1872,,2011/07/19,to-read,to-read (#19),to-read,,,,0,0
176254,"Dragonstar (Winterlands, #4)",Barbara Hambly,"Hambly, Barbara",,"=""0345441710""","=""9780345441713""",0,Del Rey,Mass Market Paperback,336,2003,2002,,2011/07/19,to-read,to-read (#18),to-read,,,,0,0
438132,"Knight of the Demon Queen (Winterlands, #3)",Barbara Hambly,"Hambly, Barbara",Donato Giancola,"=""0345421906""","=""9780345421906""",0,Del Rey,Mass Market Paperback,352,2000,2000,,2011/07/19,to-read,to-read (#17),to-read,,,,0,0
176245,"Dragonshadow (Winterlands, #2)",Barbara Hambly,"Hambly, Barbara",Donato Giancola,"=""0345421884""","=""9780345421883""",0,Random House Inc,Mass Market Paperback,310,2000,1999,,2011/07/19,to-read,to-read (#16),to-read,,,,0,0
176268,"Dragonsbane (Winterlands, #1)",Barbara Hambly,"Hambly, Barbara",,"=""0345349393""","=""9780345349392""",0,Del Rey,Mass Market Paperback,352,1987,1985,,2011/07/19,to-read,to-read (#15),to-read,,,,0,0
555313,"Star Wars: Children of the Jedi (The Callista Trilogy, #1)",Barbara Hambly,"Hambly, Barbara",,"=""0553572938""","=""9780553572933""",0,Bantam Spectra,Mass Market Paperback,416,1996,1995,,2011/07/19,to-read,to-read (#14),to-read,,,,0,0
6117055,The Greatest Show on Earth: The Evidence for Evolution,Richard Dawkins,"Dawkins, Richard",,"=""059306173X""","=""9780593061732""",0,Bantam Press,Hardcover,470,2009,2009,,2011/07/19,to-read,to-read (#13),to-read,,,,0,0
14743,The God Delusion,Richard Dawkins,"Dawkins, Richard",,"=""0618680004""","=""9780618680009""",0,Houghton Mifflin Co.,Hardcover,374,2006,2006,,2011/07/19,to-read,to-read (#12),to-read,,,,0,0
771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory",Brian Greene,"Greene, Brian",,"=""0375708111""","=""9780375708114""",0,Vintage Books USA,Paperback,425,2000,1999,,2011/07/19,to-read,to-read (#11),to-read,,,,0,0
61535,The Selfish Gene,Richard Dawkins,"Dawkins, Richard",,"=""0199291152""","=""9780199291151""",0,Oxford University Press,Paperback,360,2006,1976,,2011/07/19,to-read,to-read (#10),to-read,,,,0,0
55030,Cosmos,Carl Sagan,"Sagan, Carl",,"=""0375508325""","=""9780375508325""",0,Random House,Mass Market Paperback,384,2002,1980,,2011/07/19,to-read,to-read (#9),to-read,,,,0,0
1168341,Physics of the Impossible,Michio Kaku,"Kaku, Michio",,"=""0385520697""","=""9780385520690""",0,Doubleday Books,Hardcover,329,2008,2008,,2011/07/19,to-read,to-read (#8),to-read,,,,0,0
296662,Lies My Teacher Told Me: Everything Your American History Textbook Got Wrong,James W. Loewen,"Loewen, James W.",,"=""0684818868""","=""9780684818863""",0,"Touchstone Books/Simon & Schuster, Inc.",Paperback,383,1996,1995,,2011/07/19,to-read,to-read (#7),to-read,,,,0,0
3869,A Brief History of Time,Stephen W. Hawking,"Hawking, Stephen W.",,"=""0553380168""","=""9780553380163""",0,Bantam Books,Paperback,226,1998,1988,,2011/07/19,to-read,to-read (#6),to-read,,,,0,0
16299,And Then There Were None,Agatha Christie,"Christie, Agatha",,"=""0312330871""","=""9780312330873""",0,St. Martin's Griffin,Paperback,264,2004,1939,,2011/07/19,to-read,to-read (#5),to-read,,,,0,0
332613,One Flew Over the Cuckoo’s Nest,Ken Kesey,"Kesey, Ken",,"=""""","=""""",0,Signet,Mass Market Paperback,325,1963,1962,,2011/07/19,to-read,to-read (#4),to-read,,,,0,0
6690798,"The Passage (The Passage, #1)",Justin Cronin,"Cronin, Justin",,"=""0345504968""","=""9780345504968""",0,Ballantine Books,Hardcover,784,2010,2010,,2011/07/19,to-read,to-read (#3),to-read,,,,0,0
4381,Fahrenheit 451,Ray Bradbury,"Bradbury, Ray",,"=""0307347974""","=""9780307347978""",0,DeBolsillo,Mass Market Paperback,158,2004,1953,,2011/07/19,to-read,to-read (#2),to-read,,,,0,0
529326,Beyond Good and Evil,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0679724656""","=""9780679724650""",2,Vintage,Paperback,257,1989,1886,2009/07/01,2011/07/16,,,read,,,,1,0
1036829,JPS Hebrew-English TANAKH,Anonymous,"Anonymous, Anonymous",,"=""0827607660""","=""9780827607668""",4,JEWISH PUBLICATON SOCIETY,Leather Bound,2030,2003,-450,2010/08/31,2011/07/16,,,read,"I wanted to read the JPS version, and found it was quite good.  It did not differ much from KJV in most respects.  I enjoyed trying to read some of the Hebrew, found out new things about Psalms, and enjoyed learning the different order of the books.  After reading this book, I occasionally started trying to read other books from the wrong side by accident.",,,1,0
1923820,The Holy Bible: King James Version,Anonymous,"Anonymous, Anonymous",,"=""""","=""""",5,,Hardcover,1590,2008,1611,,2011/07/16,,,read,"**I did not read this exact version.  I reread the Bible through a second time in the summer of 2010, reading the New Testament in KJV and the Old Testament in the JPS Hebrew-English pocket Tanakh.  There is so much to understand within these pages, that I could study them for millions of years and never learn it all.",,,2,0
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,"=""0765346524""","=""9780765346520""",3,Tor Books,Mass Market Paperback,836,2003,1994,2010/10/01,2011/07/16,,,read,I loved the character Zed most in this book.  The ending was great.  John read the entire thing to me. ,,,1,0
1005918,The Second Treatise of Government,John Locke,"Locke, John",Thomas P. Peardon,"=""0023933003""","=""9780023933004""",4,Macmillan Publishing Company,Paperback,168,1952,1689,2009/06/01,2009/10/18,,,read,,,,1,0
48855,The Diary of a Young Girl,Anne Frank,"Frank, Anne","Eleanor Roosevelt, Susan Massotty, Γιάννης Θωμόπουλος, Barbara Mooyaart-Doubleday, Otto H. Frank, Mirjam Pressler","=""""","=""""",4,Bantam,Mass Market Paperback,283,1993,1947,1999/01/01,2009/10/18,,,read,,,,1,0
8364579,Voyage of the Dawn Treader (Chronicles of Narnia Series #5),C.S. Lewis,"Lewis, C.S.",Derek Jacobi,"=""1616823992""","=""9781616823993""",4,HarperCollins Publishers,Audio CD,6,2010,1952,2011/07/13,2011/07/16,,,read,"I was surprised how much I loved this book.  It follows the random adventures of the Dawn Treader.  As I listened to it, I enjoyed it more and more.  The end was one of the best I've ever read, not for its amazing literary quality, but just because I loved it and it was very significant to me personally.  Favorite parts:  the story of Eustace, the Sea People, Ramandu, and of course, the end.  This story also references dragons and what ""everyone"" knows about them.  I must find those stories.  And I cannot wait to read The Silver Chair!  I'm wondering who will be in it.  My guess is Eustace.",,,1,0
205999,The Hobbit,J.R.R. Tolkien,"Tolkien, J.R.R.",,"=""0345235126""","=""9780345235121""",3,Ballantine Books,Mass Market Paperback,306,1973,1937,2011/07/10,2011/07/16,,,read,"Do not think I hated this book, just because I'm only giving it three stars.  It was a bit slow initially, but the rich story and details were fascinating.  I especially enjoyed what I learned about the elves and dragons.  Written for children, the narration was entertainly different from what I've been reading lately.  Tolkien references ""other dragon stories"" when speaking of Smaug, and how the reader has doubtless heard about what dragons are like from them.  However, this is only the second book I've read that mentioned dragons.  In the first, Goodkind's The Sword of Truth, they did not play a large role.  This fact has made me even more curious to read some of the first great stories out there about dragons and other tales, such as King Arthur and books by George MacDonald.  Additionally, this book really helped me understand the first book of The Lord of the Rings better.  It amused me how the Ring was not in the spotlight of this story.",,,1,0
303128,"The Giver (The Giver, #1)",Lois Lowry,"Lowry, Lois",,"=""0553571338""","=""9780553571332""",4,Bantam Books for Young Readers,Mass Market Paperback,180,1999,1993,2011/06/13,2011/07/16,,,read,"I had many recommendations for this book, so I picked it up.  It was a great and unusual story.  In many places were it could have been vulgar or graphic, it was not, which surprised me.  The ending also surprised me.  It is one of the shortest books I've read recently, thus the pacing was much different, which intrigued me.  Even though it is so short, it does a remarkable job of story development.  I recommend it to anyone looking for a quick and fun read.",,,1,0
7869,"The Bourne Identity (Jason Bourne, #1)",Robert Ludlum,"Ludlum, Robert",,"=""0752864327""","=""9780752864327""",2,Orion,Paperback,566,2005,1980,2011/06/09,2011/07/16,,,read,"**I listened to the CD version.  This book was ok, but the plot consisted almost completely of action, suspense and mystery, no real character development.  Thus, it felt a bit two dimensional to me.  Also, it had an intense amount of profanity.  Especially because of the latter, I could not really enjoy it.",,,1,0
68427,"Elantris (Elantris, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765350378""","=""9780765350374""",5,Tor Fantasy,Mass Market Paperback,638,2006,2005,2011/06/07,2011/07/16,,,read,,,,1,0
8838632,Basic Elements of the Christian Life (Volume One),Witness Lee,"Lee, Witness",Watchman Nee,"=""0736320377""","=""9780736320375""",4,Living Stream Ministry,Paperback,47,2003,2003,2011/02/26,2011/07/16,,,read,,,,1,0
1017408,PCR Technology: Principles and Applications for DNA Amplification (Breakthroughs in Molecular Biology),Henry A. Erlich,"Erlich, Henry A.",,"=""0195098757""","=""9780195098754""",2,Oxford University Press,Paperback,256,1993,1989,2010/11/28,2011/07/16,,,read,"Bijoy gave me this book to read when I was having trouble with PCR.  I read it, and did learn a lot about the theory behind PCR that was quite interesting.  It was rather dry though.",,,1,0
830982,"The Shadow Rising (Wheel of Time, #4)",Robert Jordan,"Jordan, Robert","Kate Reading, Michael Kramer","=""159397535X""","=""9781593975357""",5,Macmillan Audio,Audio CD,43,2004,1992,2010/09/15,2009/10/18,,,read,"**Date finished reading is an approximation, but accurate within a month.",,,1,0
1934,"Little Women (Little Women, #1)",Louisa May Alcott,"Alcott, Louisa May","Regina Barreca, Grzegorz Komerski, Marta Fihel","=""""","=""""",4,Signet Classics,Mass Market Paperback,449,2004,1868,2000/01/01,2009/10/18,,,read,,,,1,0
1166599,"The Gathering Storm (Wheel of Time, #12)",Robert Jordan,"Jordan, Robert",Brandon Sanderson,"=""0765302306""","=""9780765302304""",5,Tor Books,Hardcover,824,2009,2009,2011/03/06,2011/07/15,,,read,**I read this edition and listened to the CD version both.,,,1,0
13888,"Knife of Dreams (Wheel of Time, #11)",Robert Jordan,"Jordan, Robert",,"=""0812577566""","=""9780812577563""",4,Tom Doherty Associates,Mass Market Paperback,860,2006,2005,2011/02/02,2011/07/15,,,read,**I listened to the CD version both.,,,1,0
113435,"Crossroads of Twilight (Wheel of Time, #10)",Robert Jordan,"Jordan, Robert",,"=""0312864590""","=""9780312864590""",5,Tor Fantasy,Hardcover,704,2003,2003,2011/01/20,2011/07/15,,,read,"**The date finished in an approximation, but accurate within a month.  I read this edition and listened to the CD version both.",,,1,0
13891,"Winter's Heart (Wheel of Time, #9)",Robert Jordan,"Jordan, Robert",,"=""081257558X""","=""9780812575583""",4,Tor Fantasy,Mass Market Paperback,780,2002,2000,2010/12/29,2011/07/15,,,read,**I listened to the CD version of this book.,,,1,0
140974,"The Path of Daggers (Wheel of Time, #8)",Robert Jordan,"Jordan, Robert",,"=""0812550293""","=""9780812550290""",4,Tor Books,Mass Market Paperback,685,1999,1998,2010/12/04,2011/07/15,,,read,"**I listened to the CD version, and did not read this edition.",,,1,0
228666,"A Crown of Swords, Part 1 (Wheel of Time, #7-1)",Robert Jordan,"Jordan, Robert","Kate Reading, Michael Kramer","=""0736641734""","=""9780736641739""",4,Books on Tape,Unknown Binding,0,1998,1996,2010/11/16,2011/07/15,,,read,,,,1,0
34897,"The Dragon Reborn (Wheel of Time, #3)",Robert Jordan,"Jordan, Robert",,"=""0765305119""","=""9780765305114""",5,Tor Fantasy,Mass Market Paperback,624,2002,1991,2010/08/30,2009/10/18,,,read,"**Date finished reading is an approximation, but accurate within a month.",,,1,0
30488,The Communist Manifesto,Karl Marx,"Marx, Karl",Friedrich Engels,"=""0717802418""","=""9780717802418""",1,International Publishers (NYC),Paperback,48,1948,1848,2009/02/05,2011/07/14,,,read,"**Date finished reading is an approximation. Ok, this book rating requires explanation.  I absolutely hated Marx, and his Manifesto absolutely infuriated me the first time I read it.  However, the second time I read it I was more reasonable and stopped hating it just because.  He does make some valid points in places.  I just think the conclusions he comes to are completely off base for specific reasons.  I recommend that everyone read it.  It's important to understand why you disagree with someone, and not just blindly hate them.  These days, I merely dislike Marx intensely, but I don't hate him virulently.  The date listed here is of the first reading.",,,1,0
27791,The First and Second Discourses,Jean-Jacques Rousseau,"Rousseau, Jean-Jacques","Judith R. Masters, Roger D. Masters","=""0312694407""","=""9780312694401""",2,Bedford/St. Martin's,Paperback,256,1969,1750,2009/01/20,2011/07/14,,,read,"**Date finished reading is an approximation. Rousseau was rather entertaining, if only because it was difficult to tease out what he was saying, but I am not a huge fan of him.  He tends to get on my nerves sometimes.  Nevertheless, I need to read more of his books.  They were important influences on many other authors.  It was fascinating to me to see what he really said, versus what I'd always been told he said.  The idea of the ""noble savage"" is largely false - his savages were not noble.",,,1,0
28862,The Prince,Niccolò Machiavelli,"Machiavelli, Niccolò","Rufus Goodwin, Benjamin Martinez, W.K. Marriott, Denis Daly, Μαρία Κασωτάκη","=""0937832383""","=""9780937832387""",4,Dante University Press,Paperback,144,2014,1532,2009/01/01,2011/07/14,,,read,"**Date finished reading is an approximation. I agreed with nothing in The Prince, except maybe a quote here or there, but really enjoyed reading it.  Dr. Shapiro's discuss of it in his modern politics class was fascinating too.  It was hilarious to me at every turn, for some reason.  I need to read it again.  ",,,1,0
649361,Farewell to Manzanar: A True Story of Japanese American Experience During and After the World War II Internment,Jeanne Wakatsuki Houston,"Houston, Jeanne Wakatsuki",James D. Houston,"=""0553272586""","=""9780553272581""",3,Dell,Mass Market Paperback,223,1995,1973,2010/10/09,2011/07/14,,,read,A book about the life and hardships of a Japanese-American family in the camps during World War II.,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",5,Arthur A. Levine Books,Hardcover,759,2007,2007,2010/10/02,2011/07/14,,,read,,,,1,0
2,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439686520""","=""9780439686525""",4,Scholastic Inc.,Paperback,870,2004,2003,2010/09/04,2011/07/14,,,read,,,,1,0
6,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""0439139597""","=""9780439139595""",4,Scholastic,Paperback,734,2002,2000,2010/08/24,2011/07/14,,,read,,,,1,0
5,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""043965548X""","=""9780439655484""",4,Scholastic Inc.,Mass Market Paperback,547,2004,1999,2010/08/14,2011/07/14,,,read,,,,1,0
15881,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)",J.K. Rowling,"Rowling, J.K.",Mary GrandPré,"=""""","=""""",4,Arthur A. Levine Books,Hardcover,352,1999,1998,2010/08/08,2011/07/14,,,read,,,,1,0
126081,Waking the Dead: The Glory of a Heart Fully Alive,John Eldredge,"Eldredge, John",,"=""0785265538""","=""9780785265535""",5,Thomas Nelson Inc,Hardcover,224,2003,2000,2010/08/04,2011/07/14,,,read,"Waking the Dead was and still is a life changing book for me.  I recommend it to everyone.  In it, Eldredge discusses the four streams:  walking with God, fellowship, healing and spiritual warfare and how they all need to be combined into one unit in one's spiritual life.  It's a very deep and refreshing book - there's so much more that he says that is so important I cannot write here.  My only recommendation to you is to read his works as soon as possible.  He has been a major influence upon me.",,,1,0
3,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)",J.K. Rowling,"Rowling, J.K.",,"=""0439554934""","=""9780439554930""",4,Scholastic Inc,Hardcover,309,2003,1997,2010/08/02,2011/07/14,,,read,**More on this book later.,,,1,0
1621779,The Office of Assertion: An Art of Rhetoric for the Academic Essay,Scott F. Crider,"Crider, Scott F.",,"=""1932236457""","=""9781932236453""",4,ISI Books,Paperback,168,2005,2005,2010/08/01,2011/07/14,,,read,"This was an amazing book, a short read, and provided stimulating and fascinating commentary about how to truly write well, and about what rhetoric really means.  In short, I completely loved it.",,,1,0
91953,Leviathan,Thomas Hobbes,"Hobbes, Thomas","Marshall Missner, Crawford Brough Macpherson","=""0140431950""","=""9780140431957""",4,Penguin Books,Paperback,736,1981,1651,2010/07/23,2011/07/14,,,read,"**This book is not the same edition that I read.  I only read Parts 1 and 2.  Hobbes is really interesting to me.  A bit verbose and self-important writing style, but I enjoy his logical mindset.  Thinking over his conclusions and reasoning concerning government and comparing them to John Locke is immensely entertaining.  I still haven't decided what to think of much of what he said.",,,1,0
6605316,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,Tor Books,ebook,676,2010,2006,2010/07/17,2011/07/14,,,read,"This book was unexpected, shockingly good.  Brandon Sanderson, a relatively new author in fantasy who has taken over the final book writing for the Wheel of Time Series, is a truly great novelist in his own right.  His books are fast-paced, keep you guessing and are amazingly good quality!  A must read.",,,1,0
2024821,"What Do Jewish People Think about Jesus?: And Other Questions Christians Ask about Jewish Beliefs, Practices, and History",Michael L. Brown,"Brown, Michael L.",,"=""0800794265""","=""9780800794262""",5,Chosen,Paperback,304,2007,2007,2010/06/01,2011/07/14,,,read,,,,1,0
61321,"Answering Jewish Objections to Jesus: General and Historical Objections, Vol. 1",Michael L. Brown,"Brown, Michael L.",,"=""080106063X""","=""9780801060632""",5,Baker Books,Paperback,300,2000,2000,2010/06/01,2011/07/14,,,read,,,,1,0
80447,The Portable Nietzsche,Friedrich Nietzsche,"Nietzsche, Friedrich",Walter Kaufmann,"=""0140150625""","=""9780140150629""",2,Penguin Books,Paperback,692,1977,1954,2009/05/22,2011/07/14,,,read,"**From this book, I read Thus Spoke Zarathustra - so I did not literally read all of it.  It was very intriguing in places, odd, definitely confusing and disturbing.  I read it because I would like to understand Nietzsche better, since he is one of the greatest influences on modern thought.",,,1,0
1067084,Maran Illustrated Cooking Basics,Ruth Maran,"Maran, Ruth",,"=""1598632345""","=""9781598632347""",4,Course Technology PTR,Paperback,240,2006,2006,2008/05/26,2011/07/14,,,read,"I love the excellent pictures, easy recipes and simple instructions in this book.  It made reading a cook book fun.",,,1,0
233649,"The Great Hunt (Wheel of Time, #2)",Robert Jordan,"Jordan, Robert",,"=""0812517725""","=""9780812517729""",5,Tor Books,Mass Market Paperback,705,1991,1990,2008/04/30,2009/10/18,,,read,,,,1,0
228665,"The Eye of the World (Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",5,Tor Books,Mass Market Paperback,800,1990,1990,2008/04/15,2009/10/18,,,read,"The first book to Jordan's Wheel of Time series, probably the most fantastic story in fantasy:  unbelievably complex plot, realistic characters that will both infuriate you and make you laugh, and excellent description.  A must read.",,,1,0
24985,Bellwether,Connie Willis,"Willis, Connie",,"=""0553562967""","=""9780553562965""",3,Spectra,Mass Market Paperback,248,1997,1996,2008/03/01,2011/07/14,,,read,"This is a short read, and rather hilarious.  I really enjoyed it!  It's about the herd-like nature of people and how someone can unconsciously step out and lead the others without realizing it.",,,1,0
52397,"Parable of the Sower (Earthseed, #1)",Octavia E. Butler,"Butler, Octavia E.",,"=""0446675504""","=""9780446675505""",2,Grand Central Publishing,Paperback,345,2000,1993,2008/02/01,2011/07/14,,,read,"Octavia Butler is a strange writer, and poses some interesting philosophical questions in this book.  It is entertaining, but not the most interesting, and violent.  Overall, not my favorite.",,,1,0
18490,Frankenstein,Mary Wollstonecraft Shelley,"Shelley, Mary Wollstonecraft",,"=""""","=""""",1,Penguin,Paperback,288,2003,1818,2008/01/01,2009/10/18,,,read,"Single-handedly one of the most depressing books I've ever read.  Almost nothing good happened in it.  I suppose one could call it a modern tragedy, and it probably does deserve it's place as a classic.  Nevertheless, I could not stand to watch so much evil happen with absolutely no hope throughout.",,,1,0
3087,A Room with a View,E.M. Forster,"Forster, E.M.",,"=""1420925431""","=""9781420925432""",3,Digireads.Com,Paperback,119,2005,1908,2007/09/13,2011/07/14,,,read,"An unusual, but interesting book, especially if you have an English class to discuss it in like I did.",,,1,0
77786,"Star Wars: Vision of the Future (The Hand of Thrawn Duology, #2)",Timothy Zahn,"Zahn, Timothy",,"=""0553100351""","=""9780553100358""",5,Bantam Spectra,Hardcover,520,1998,1998,2007/05/18,2011/07/14,,,read,,,,1,0
442808,Storm: 1798-1800 (The Great Awakenings #3),Bill Bright,"Bright, Bill",Jack  Cavanaugh,"=""1582294933""","=""9781582294933""",2,Howard Books,Paperback,352,2006,2006,2007/05/12,2011/07/14,,,read,"**A Christian fiction - it was interesting, and had some good points, but was not my favorite overall.  ",,,1,0
246845,Grace Walk: What You've Always Wanted in the Christian Life,Steve McVey,"McVey, Steve",,"=""0736916393""","=""9780736916394""",5,Harvest House Publishers,Paperback,189,2005,1995,2007/03/15,2011/07/14,,,read,Another life changing book for me.  This one discusses how to walk in the Spirit.  I count it as essential reading.,,,1,0
29797,The Pilgrim's Progress,John Bunyan,"Bunyan, John",,"=""""","=""""",3,Dover Publications,Paperback,324,2003,1678,2007/03/14,2011/07/14,,,read,**This book is not the same edition that I read.  I love the analogies to the Christian life here.  Bunyan did a remarkable job.  It's the best straight allegory that I know.  The date listed for finishing this book is actually a second reading.  I don't remember what the first one was.,,,1,0
196110,John Jay: Founding Father,Walter Stahr,"Stahr, Walter",,"=""0826418791""","=""9780826418791""",3,Continuum,Paperback,496,2006,2005,2007/03/10,2011/07/14,,,read,"This was a book that was a bit dry, but absolutely fascinating nevertheless.  I found out that John Jay was a truly interesting and inspiring person.  ",,,1,0
266485,Last of the Breed,Louis L'Amour,"L'Amour, Louis",,"=""""","=""""",3,Bantam Books,Paperback,371,2005,1986,2007/01/27,2011/07/14,,,read,An engaging story about a American Indian spy who survives the wilderness to best his foes after escaping from a prison in Russia.,,,1,0
187468,The Tragedy of MacBeth (The Folger Library General Readers Shakespeare),William Shakespeare,"Shakespeare, William","Louis B. Wright, Virginia A. LaMar","=""0671509802""","=""9780671509804""",3,Washington Square Press,Paperback,188,1984,1623,2007/01/04,2011/07/14,,,read,**This book is not the edition that I read.  Shakespeare's plays are very rich and this one is no exception.  It pains me though to see someone who could have been so great fall so very low.,,,1,0
375802,"Ender’s Game (Ender's Saga, #1)",Orson Scott Card,"Card, Orson Scott",,"=""0812550706""","=""9780812550702""",4,Tor,Mass Market Paperback,324,2004,1985,2007/01/02,2009/10/18,,,read,"Ender's Game was a good book, the plot was engaging, but it was too dark for my taste.  I believe all of Orson Scott Card's books have this in common: a thread of foreboding joylessness presses upon the reader.  For this reason, I do not truly enjoy his books, and have never been able to pick up the sequels of this one yet.",,,1,0
16304,"Murder on the Orient Express (Hercule Poirot, #10)",Agatha Christie,"Christie, Agatha",,"=""0425200450""","=""9780425200452""",5,Berkley,Paperback,322,2004,1934,2007/01/02,2011/07/14,,,read,This book is one of my favorite mysteries.  The ending shocked me - I had not had it spoiled for me.  The best part about it is probably how shocking the ending is.,,,1,0
18422,Gifted Hands: The Ben Carson Story,Ben Carson,"Carson, Ben",Cecil Murphey,"=""""","=""""",4,Zondervan,Paperback,224,1996,1992,2006/12/23,2011/07/14,,,read,Excellent!  Ben Carson had an amazing life that is incredibly inspiring.,,,1,0
335469,How to Stay Christian in College,J. Budziszewski,"Budziszewski, J.",The Navigators,"=""1576835103""","=""9781576835104""",4,NavPress,Hardcover,192,2004,1999,2006/12/17,2011/07/14,,,read,"Good informative summary on a number of issues, with a bunch of good ideas and advice thrown in.",,,1,0
